Name,Phone,Email,Service,Date,Time,Message,CreatedAt
Ankush,9418057918,,Hair Styling,05-05-2026,17:00,hello everyone,05-05-2026 12:56
abhishek,9418857918,,Body Massage,05-05-2026,18:00,hello everyone,05-05-2026 12:57
abhishek,9816457918,,Hair Styling,05-05-2026,15:00,hello everyone,05-05-2026 12:47
harshit,9418657918,kabaddiharshit01@gmail.com,Hair Styling,06-05-2026,11:00,hello abbhishek brother,05-05-2026 12:58
Rita devi,9816457918,,Manicure & Pedicure,06-05-2026,12:00,better,05-05-2026 13:21
Usha devi,9418157918,thakurharshit812@gmail.com,Makeup Services,07-05-2026,18:00,i will come sharp 6 pm,05-05-2026 13:25
kunal,9123456780,,Hair Styling,06-05-2026,14:00,hidsfoufueouebvbeve,05-05-2026 13:31
satish,9876543210,,Hair Styling,2026-05-06,15:00,afsffdexdexde,2026-05-05 13:43
arvind,1234567890,,Hair Styling,2026-05-07,10:00,i want to do haircut,2026-05-05 13:53
rahul,8764569875,,Hair Treatment,2026-05-06,16:00,vucsavcugdsvcgvdsv,2026-05-05 15:01
manoj,7638497632,,Body Massage,2026-05-06,17:00,vdfbfdbd vgd,2026-05-05 15:02
sahiul,7364528978,,Makeup Services,2026-05-06,18:00,fhbhewhfdshvhds,2026-05-05 15:03
